Date,Close/Last,Volume,Open,High,Low
6/9/2021,3281.15,2455530,3272.87,3297.58,3270.70
6/8/2021,3264.11,3416730,3222.61,3279.53,3218.01
6/7/2021,3198.01,2215756,3197.33,3208.00,3172.20
6/4/2021,3206.22,2249749,3212.00,3221.00,3198.81
6/3/2021,3187.01,2398293,3204.23,3214.44,3184.03
6/2/2021,3233.99,2014524,3223.10,3235.00,3208.00
6/1/2021,3218.65,2430045,3243.50,3250.98,3209.06
5/28/2021,3223.07,2331509,3242.00,3247.99,3219.70
5/27/2021,3230.11,2561157,3256.00,3260.36,3230.04
5/26/2021,3265.16,2383986,3274.59,3295.73,3258.51
5/25/2021,3259.05,3261109,3266.67,3279.82,3213.76
5/24/2021,3244.99,2422813,3215.50,3257.95,3210.50
5/21/2021,3203.08,4104882,3250.00,3256.69,3197.01
5/20/2021,3247.68,2633192,3244.40,3259.68,3236.18
5/19/2021,3231.80,2679708,3195.00,3234.75,3184.00
5/18/2021,3232.28,2828391,3292.58,3312.00,3230.37
5/17/2021,3270.39,3685599,3245.93,3292.75,3234.59
5/14/2021,3222.90,3325022,3185.56,3228.86,3183.00
5/13/2021,3161.47,3356877,3185.47,3203.84,3133.00
5/12/2021,3151.94,4936410,3185.00,3207.94,3133.10
5/11/2021,3223.91,4619781,3136.28,3238.00,3127.37
5/10/2021,3190.49,5838603,3282.32,3283.00,3190.00
5/7/2021,3291.61,4710276,3319.09,3330.89,3289.07
5/6/2021,3306.37,4447696,3270.00,3314.40,3247.20
5/5/2021,3270.54,3711308,3338.86,3354.70,3264.36
5/4/2021,3311.87,5439449,3356.19,3367.98,3272.13
5/3/2021,3386.49,5875530,3484.73,3486.65,3372.70
4/30/2021,3467.42,7009346,3525.12,3554.00,3462.50
4/29/2021,3471.31,7682381,3505.10,3514.45,3435.00
4/28/2021,3458.50,4631884,3434.80,3489.88,3425.00
4/27/2021,3417.43,3827140,3443.47,3460.00,3398.01
4/26/2021,3409.00,4880708,3348.00,3428.45,3330.94
4/23/2021,3340.88,3196652,3319.10,3375.00,3308.50
4/22/2021,3309.04,2580590,3371.68,3372.87,3301.45
4/21/2021,3362.02,2211166,3316.00,3362.86,3303.81
4/20/2021,3334.69,2623032,3373.60,3382.99,3316.00
4/19/2021,3372.01,2725405,3390.33,3435.93,3360.16
4/16/2021,3399.44,3186049,3380.00,3406.80,3355.59
4/15/2021,3379.09,3233580,3371.00,3397.00,3352.00
4/14/2021,3333.00,3145204,3404.04,3404.13,3326.00
4/13/2021,3400.00,3315837,3400.85,3432.00,3395.63
4/12/2021,3379.39,3281798,3355.21,3395.04,3351.15
4/9/2021,3372.20,4341473,3304.70,3372.20,3288.90
4/8/2021,3299.30,2812090,3310.90,3324.50,3292.00
4/7/2021,3279.39,3346227,3233.80,3303.61,3223.65
4/6/2021,3223.82,2537809,3223.75,3247.31,3217.04
4/5/2021,3226.73,3334882,3173.00,3235.96,3161.24
4/1/2021,3161.00,2940318,3117.94,3162.44,3115.55
3/31/2021,3094.08,3093896,3064.06,3119.33,3062.50
3/30/2021,3055.29,2337603,3070.01,3073.00,3034.00
3/29/2021,3075.73,2745968,3055.44,3091.25,3028.45
3/26/2021,3052.03,3312924,3044.06,3056.66,2996.00
3/25/2021,3046.26,3563469,3072.99,3109.78,3037.14
3/24/2021,3087.07,2958981,3151.04,3160.31,3085.15
3/23/2021,3137.50,3817263,3127.00,3182.00,3120.85
3/22/2021,3110.87,2902179,3067.85,3126.58,3060.05
3/19/2021,3074.96,4625354,3029.23,3077.29,3016.63
3/18/2021,3027.99,3657027,3101.00,3116.63,3025.00
3/17/2021,3135.73,3118584,3073.22,3173.05,3070.22
3/16/2021,3091.86,2538764,3104.97,3128.91,3075.86
3/15/2021,3081.68,2918592,3074.57,3082.24,3032.09
3/12/2021,3089.49,2421888,3075.00,3098.98,3045.50
3/11/2021,3113.59,2776391,3104.01,3131.78,3082.93
3/10/2021,3057.64,3012489,3098.45,3116.46,3030.05
3/9/2021,3062.85,4030032,3017.99,3090.96,3005.15
3/8/2021,2951.95,4185008,3015.00,3064.59,2951.31
3/5/2021,3000.46,5388551,3005.00,3009.00,2881.00
3/4/2021,2977.57,5481578,3012.00,3058.13,2945.43
3/3/2021,3005.00,3988725,3081.18,3107.78,2995.00
3/2/2021,3094.53,2595762,3143.47,3163.52,3087.12
3/1/2021,3146.14,2733963,3127.89,3149.56,3097.99
2/26/2021,3092.93,4275930,3095.20,3122.44,3036.70
2/25/2021,3057.16,4533801,3136.74,3178.26,3047.76
2/24/2021,3159.53,3011275,3166.75,3171.23,3125.38
2/23/2021,3194.50,4677222,3127.03,3204.73,3093.60
2/22/2021,3180.74,3515679,3208.13,3232.32,3172.26
2/19/2021,3249.90,4305184,3328.23,3333.50,3245.75
2/18/2021,3328.23,3033607,3282.42,3338.00,3273.94
2/17/2021,3308.64,3302099,3263.60,3320.91,3259.50
2/16/2021,3268.95,2574721,3254.05,3308.30,3253.59
2/12/2021,3277.71,2335339,3250.00,3280.25,3233.31
2/11/2021,3262.13,2301417,3292.00,3292.00,3248.06
2/10/2021,3286.58,3151550,3314.00,3317.95,3254.00
2/9/2021,3305.00,2203526,3312.49,3338.00,3297.84
2/8/2021,3322.94,3257391,3358.50,3365.00,3304.00
2/5/2021,3352.15,3620808,3319.00,3377.00,3302.71
2/4/2021,3331.00,3670661,3330.00,3347.00,3277.75
2/3/2021,3312.53,7088781,3425.01,3434.00,3308.62
2/2/2021,3380.00,7098637,3380.00,3427.74,3361.13
2/1/2021,3342.88,4160212,3242.36,3350.26,3235.03
1/29/2021,3206.20,4293556,3230.00,3236.99,3184.55
1/28/2021,3237.62,3149228,3235.04,3301.68,3228.69
1/27/2021,3232.58,4660158,3341.49,3346.52,3207.08
1/26/2021,3326.13,2955235,3296.36,3338.00,3282.87
1/25/2021,3294.00,3749758,3328.50,3363.89,3243.15
1/22/2021,3292.23,2821914,3304.31,3321.91,3283.16
1/21/2021,3306.99,4945051,3293.00,3348.55,3289.57
